layer	species	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	temp	cont	light
M	Bryum sp.									+							2																
M	Calypogeia sp. (muelleriana)																				1									+	3	3	1
M	Campylium sp.																							1									
M	Ceratodon purpureus																								+							3	4
L	Cetraria cucullata							+																							1	4	5
L	Cetraria islandica					1	2	2			1			2			3														2	4	4
L	Cetraria nivalis					+											1														1	4	5
L	Cladonia arbuscula							1						1														1			2	4	4
L	Cladonia c.f. furcata 							1																				1			3	3	3
L	Cladonia coniocrea																				1												
L	Cladonia pyxidata																						r 		+						3	3	4
L	Cladonia rangiferina													1			2														2	4	4
L	Cladonia spec.	r									1			1	+																		
M	Climacium dendroides (Hedw.) Web. Et Mohr												1											r							3	3	4
M	Dicranella spec.										+				1															1			
M	Dicranum polysetum																													+	3		3
M	Dicranum scoparium	1																										1		1	3	3	3
M	Dicranum sp.																				1				1								
M	Diplophyllum albicans																				1										3	2	2
M	Distichum sp.														1																		
M	Drepanocladus sp.													1																			
M	Fissidens sp.														1																		
M	Heterocladium sp.														1																		
M	Hylocomium splendens	3																			5			+				4		3	3	3	3
M	Hypnum cupressiforme	+																											p	1	3	3	
M	Hypnum pratense														1																3		4
M	Hypnum spec. 										1																						
M	Lepidozia reptans																													1	3	3	1
M	Moos unbestimmt							1																									
L	Peltigera aphthosa																														2	5	3
L	Peltigera leucophlebia																											+			2	4	3
M	Plagiochila asplenioides	1																			1										3	3	2
M	Plagiomnium affine aggr et sp.	+	p																		1									1	3		2
M	Plagiothecium sp.																				1												
M	Plagiothecium undulatum																												p		3	2	1
M	Pleurozium schreberi (Hedw.) Mitt	1												2							1	+		+						1	2	3	3
M	Polytrichum alpinum (Hedw.) G.L.Sm																							1							1	3	4
M	Polytrichum formosum	1																			1										3	3	2
M	Polytrichum juniperinum																								1						3	4	2
M	Ptilidium pulcherrimum																				1								p	+			
	Ptilium crista-castrensis																				1										3	3	2
M	Rhodobryum roseum	+																													3	3	3
M	Rhytidiadelphus squarrosus (Hedw.) Warnst.													1	1									+					p		3	3	
M	Rhytidiadelphus triquetrus (Hedw.) Warnst	3		1				1																				2	p	1	3	3	
M	Rythidium rugosum							3																			1				3	3	4
M	Sphagnum rubellum																							1									
M	Sphagnum spec	+																															
L	Thamnolia vermicularis							+			+																				1	4	5
M	Thuidium sp.																					+											
M	Tortula sp.										1										1												
